City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kourou,5.1552,-52.6478,26.5,84,22,3.74,GF,1731621261
84,veinticinco de mayo,-35.4323,-60.1727,29.43,43,1,0.65,AR,1731621262
85,enewetak,11.3474,162.3373,28.58,73,58,7.47,MH,1731621263
86,ambovombe,-25.1667,46.0833,22.85,87,93,7.86,MG,1731621264
87,sijunjung,-0.6876,100.9537,22.21,98,90,0.46,ID,1731621265
88,thunder bay,48.4001,-89.3168,7.99,81,100,3.6,CA,1731621134
89,huarmey,-10.0681,-78.1522,20.27,79,73,3.75,PE,1731621267
90,tamanrasset,22.785,5.5228,15.95,21,0,2.06,DZ,1731621269
91,hermanus,-34.4187,19.2345,15.45,82,99,3.68,ZA,1731621270
92,nova sintra,14.8667,-24.7167,25.4,64,91,8.54,CV,1731621271
93,puerto baquerizo moreno,-0.9,-89.6,25.55,61,40,5.66,EC,1731621021
94,celestun,20.8667,-90.4,26.39,81,46,6.85,MX,1731621273
95,pacific grove,36.6177,-121.9166,16.35,88,7,2.24,US,1731621274
96,malmberget,67.1753,20.6549,0.31,69,100,4.12,SE,1731621275
97,east london,-33.0153,27.9116,17.12,86,75,5.81,ZA,1731621277
98,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,66,0,5.0,RU,1731621278
99,atafu village,-8.5421,-172.5159,27.99,78,95,5.5,TK,1731621279
100,ancud,-41.8697,-73.8203,12.13,95,100,9.08,CL,1731620969
101,stanley,54.868,-1.6985,4.01,100,100,1.54,GB,1731621281
102,carbonear,47.7332,-53.2148,12.86,99,100,7.87,CA,1731621282
103,sol'-iletsk,51.1631,54.9918,-3.06,91,98,3.33,RU,1731621283
104,nogliki,51.8333,143.1667,-3.35,67,100,2.65,RU,1731621285
105,nelson,-41.2833,173.2833,18.49,90,98,0.89,NZ,1731621286
106,puerto ayora,-0.7393,-90.3518,24.19,77,99,3.13,EC,1731621287
107,sandakan,5.8402,118.1179,25.82,94,20,1.03,MY,1731621288
108,kingston,17.997,-76.7936,29.53,74,20,6.17,JM,1731621108
109,port shepstone,-30.7414,30.455,18.22,84,98,4.04,ZA,1731621290
